bhk,size,floor,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,rent
2,1000,1 out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,9.546884034617925
1,400,10 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,10.819798284210286
2,1200,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.308985993422082
2,920,2 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.043292972227004
1,375,1 out of 22,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,10.12667110305036
1,300,Ground out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.853808274977197
3,1600,6 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,11.918397239722838
2,1200,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.546884034617925
3,1350,18 out of 32,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,11.918397239722838
1,385,3 out of 9,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent,8.612685172875459
2,809,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,8.987321812850125
3,1060,2 out of 32,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,10.043292972227004
1,300,3 out of 3,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8.853808274977197
1,350,1 out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.294299608857235
2,850,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.581972891547895
2,900,Ground out of 3,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,9.433563920090563
1,500,Ground out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,9.105090961257085
1,360,Ground out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8.853808274977197
1,480,2 out of 3,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,9.04793908261736
2,640,6 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,10.373522431293592
3,1450,Ground out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,9.741027444837728
1,400,Ground out of 3,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8.77971129020447
1,450,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.412054873292933
3,1500,Lower Basement out of 1,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,9.90353755128617
3,1893,Ground out of 18,Super Area,Bangalore,Semi-Furnished,Bachelors,4,Contact Agent,10.308985993422082
1,450,1 out of 4,Super Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,8.77971129020447
1,650,4 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,9.210440366976517
1,400,Ground out of 3,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Agent,9.798182590890704
2,623,6 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,8.987321812850125
1,700,1 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7.696667081526462
2,800,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,9.210440366976517
3,1000,18 out of 21,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,11.338583982516495
3,1600,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Agent,10.308985993422082
2,1000,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.210440366976517
1,480,7 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,10.714439990727769
2,1000,Ground out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,9.852246888342531
1,350,1 out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.922791623969637
2,850,1 out of 2,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner,9.04793908261736
2,620,6 out of 11,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,10.645448706505872
1,400,3 out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8.922791623969637
2,500,2 out of 5,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.105090961257085
2,800,1 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.61587214452889
1,1000,Ground out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.210440366976517
2,900,8 out of 36,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent,11.849404844423074
2,1200,1 out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,9.210440366976517
2,870,5 out of 21,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,11.350418300109132
2,1200,Ground out of 1,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.210440366976517
1,400,Ground out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.853808274977197
2,960,1 out of 2,Super Area,Chennai,Unfurnished,Family,2,Contact Owner,9.305741456739435
2,800,14 out of 14,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,11.982935344196433
2,1100,2 out of 3,Super Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,10.043292972227004
1,800,2 out of 3,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,9.105090961257085
1,650,4 out of 7,Super Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent,11.002116507732017
1,550,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.350189267092581
2,1200,Ground out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.210440366976517
1,500,5 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,11.002116507732017
1,400,1 out of 1,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8.987321812850125
1,840,8 out of 17,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,11.225243392518447
1,550,1 out of 7,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9.680406499268875
2,750,2 out of 3,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,11.082157933374816
1,480,5 out of 7,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent,10.668978650219241
2,550,3 out of 9,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,8.987321812850125
1,150,3 out of 4,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,8.699681400989514
2,670,1 out of 20,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.043292972227004
1,600,1 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.210440366976517
2,600,1 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Owner,9.648659816955295
3,1800,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,10.308985993422082
1,650,2 out of 4,Carpet Area,Delhi,Furnished,Bachelors,1,Contact Agent,9.61587214452889
2,700,Ground out of 1,Super Area,Delhi,Unfurnished,Bachelors,1,Contact Owner,9.210440366976517
3,1500,Ground out of 5,Super Area,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,9.99884318585288
2,500,4 out of 5,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8.160803920954665
1,200,1 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,8.853808274977197
2,800,1 out of 8,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,10.915106645867503
2,810,Ground out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.210440366976517
2,1115,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.021315031649332
4,800,1 out of 4,Super Area,Delhi,Unfurnished,Bachelors/Family,4,Contact Agent,12.765691290604371
1,500,1 out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8.853808274977197
1,550,3 out of 6,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9.798182590890704
1,550,Ground out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.305741456739435
3,1050,12 out of 13,Carpet Area,Mumbai,Unfurnished,Bachelors,3,Contact Agent,11.002116507732017
1,150,2 out of 3,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8.517393171418904
4,2300,4 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner,10.714439990727769
2,1200,6 out of 11,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,11.51293546492023
2,750,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.392745258631441
2,570,4 out of 7,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent,9.546884034617925
1,500,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.210440366976517
2,500,7 out of 10,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,8.612685172875459
3,1600,6 out of 10,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,10.308985993422082
1,450,5 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,10.12667110305036
3,2000,7 out of 10,Super Area,Delhi,Semi-Furnished,Family,2,Contact Owner,10.308985993422082
2,500,1 out of 3,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.741027444837728
4,2500,12 out of 13,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,13.304686600863562
3,1500,14 out of 20,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,10.434145214930487
3,1600,3 out of 5,Carpet Area,Bangalore,Semi-Furnished,Family,3,Contact Agent,10.645448706505872
3,1250,15 out of 18,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,10.308985993422082
2,800,2 out of 3,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,9.433563920090563
1,550,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9.680406499268875
2,167,Ground out of 1,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.15915233520675
4,1528,65 out of 76,Carpet Area,Mumbai,Unfurnished,Family,4,Contact Agent,12.345838935721968
2,600,1 out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,9.105090961257085
2,1188,Ground out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,9.798182590890704
3,2500,1 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,11.407576060361786
2,850,5 out of 13,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,11.608244735642321
2,700,5 out of 17,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Owner,10.714439990727769
3,1100,8 out of 28,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,11.289794413577894
2,800,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.680406499268875
2,850,3 out of 3,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,10.915106645867503
1,200,4 out of 5,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8.412054873292933
3,1800,4 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,9.99884318585288
1,600,1 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.853808274977197
2,1000,12 out of 23,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Agent,10.308985993422082
3,1200,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,10.308985993422082
3,1600,1 out of 3,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Owner,10.021315031649332
2,550,2 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,9.350189267092581
3,1400,3 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Owner,9.952325334619427
1,450,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.853808274977197
2,550,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.987321812850125
2,833,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,9.04793908261736
3,1798,7 out of 14,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,10.778977123006351
1,440,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.922791623969637
2,660,2 out of 3,Super Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,8.699681400989514
2,1492,4 out of 31,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.714439990727769
1,550,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,8.77971129020447
3,2780,4 out of 26,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,11.156264806643742
2,700,2 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.61587214452889
3,1700,5 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,10.12667110305036
1,550,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.922791623969637
2,700,Ground out of 4,Super Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,9.210440366976517
2,558,3 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,9.259225769705994
1,310,Ground out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent,9.90353755128617
2,450,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8.987321812850125
3,1350,Ground out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Agent,10.463131911491967
3,1200,Ground out of 4,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Agent,10.373522431293592
3,1275,4 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.392745258631441
2,700,5 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.463131911491967
2,1000,1 out of 2,Built Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,9.61587214452889
3,1450,8 out of 10,Carpet Area,Chennai,Furnished,Bachelors/Family,3,Contact Owner,9.99884318585288
6,1000,1 out of 1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.90353755128617
1,250,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent,8.517393171418904
1,200,1 out of 2,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,9.210440366976517
1,450,1 out of 4,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,9.741027444837728
2,800,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent,9.210440366976517
3,1800,3 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,12.506180941677357
2,1500,4 out of 4,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner,11.082157933374816
3,2352,1 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Family,4,Contact Owner,10.714439990727769
2,700,2 out of 3,Super Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,8.987321812850125
3,1250,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,10.819798284210286
2,1100,1 out of 1,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,8.853808274977197
2,1100,Ground out of 3,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,9.798182590890704
3,1800,11 out of 11,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,12.611541086966115
2,800,5 out of 6,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.275940829060131
2,805,1 out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.798182590890704
2,1100,Ground out of 1,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,9.741027444837728
2,2000,7 out of 10,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,9.872925246953487
1,560,2 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,8.922791623969637
3,3200,Ground out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,10.714439990727769
2,1050,1 out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.61587214452889
2,878,3 out of 4,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.210440366976517
2,1130,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.221977646629885
2,830,9 out of 21,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10.434145214930487
2,530,2 out of 3,Super Area,Kolkata,Semi-Furnished,Family,1,Contact Owner,8.987321812850125
1,600,Ground out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,8.412054873292933
1,800,Ground out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.305741456739435
2,1600,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner,9.680406499268875
3,1200,Ground out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,9.741027444837728
1,450,Ground out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,8.699681400989514
3,1970,5 out of 9,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,10.12667110305036
2,750,1 out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent,9.798182590890704
2,1000,6 out of 10,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,12.100717685412471
3,1250,1 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,10.12667110305036
2,894,4 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.90353755128617
2,830,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.881975184248867
3,1200,1 out of 3,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.680406499268875
2,800,4 out of 5,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,9.04793908261736
2,850,4 out of 6,Super Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner,9.546884034617925
1,1300,2 out of 4,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,9.392745258631441
2,830,2 out of 2,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent,10.691967639914864
1,150,1 out of 1,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,8.922791623969637
1,700,Ground out of 3,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,9.04793908261736
1,680,1 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,8.853808274977197
2,1000,1 out of 2,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,9.472781556562168
2,1000,2 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.04793908261736
2,575,Ground out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,9.18512512283512
3,1850,1 out of 1,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.61587214452889
2,1200,Ground out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner,9.04793908261736
2,1200,2 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.433563920090563
4,2500,5 out of 12,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,12.899222326086994
3,1725,10 out of 14,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Agent,11.350418300109132
1,850,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,9.04793908261736
1,450,3 out of 3,Super Area,Chennai,Furnished,Bachelors/Family,1,Contact Owner,9.680406499268875
2,1250,1 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.680406499268875
1,305,10 out of 24,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent,9.546884034617925
1,500,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,8.922791623969637
2,900,2 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.305741456739435
2,1000,1 out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.798182590890704
3,2200,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors,3,Contact Owner,9.61587214452889
3,700,1 out of 3,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner,9.392745258631441
2,1400,Ground out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,10.308985993422082
2,700,2 out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.853808274977197
1,400,Ground out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,9.105090961257085
2,800,3 out of 3,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,9.546884034617925
2,1000,Ground out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors,3,Contact Owner,9.392745258631441
2,60,1 out of 1,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,7.601402334583733
2,770,1 out of 2,Super Area,Chennai,Unfurnished,Family,1,Contact Owner,9.210440366976517
2,1170,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.90353755128617
1,500,Ground out of 1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.517393171418904
2,720,1 out of 2,Carpet Area,Chennai,Unfurnished,Family,2,Contact Owner,9.472781556562168
2,694,1 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,11.225256725762893
2,900,Ground out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.305741456739435
2,650,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.61587214452889
3,1567,3 out of 4,Carpet Area,Chennai,Furnished,Bachelors/Family,3,Contact Owner,10.165890277802454
3,1000,2 out of 4,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,11.51293546492023
2,800,1 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,8.81001204797317
2,1100,1 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.798182590890704
2,700,3 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Owner,10.308985993422082
3,930,2 out of 8,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,9.392745258631441
1,600,Ground out of 2,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,8.922791623969637
2,700,Ground out of 8,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,11.156264806643742
2,1150,3 out of 3,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Agent,10.308985993422082
3,900,1 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,9.472781556562168
2,1000,1 out of 1,Super Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,10.12667110305036
3,1600,9 out of 16,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,12.100717685412471
2,650,1 out of 2,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,9.61587214452889
2,1340,7 out of 16,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,10.12667110305036
1,500,1 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.392745258631441
2,850,1 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.305741456739435
2,1200,2 out of 4,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,9.305741456739435
1,500,2 out of 5,Super Area,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,9.210440366976517
2,1000,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.61587214452889
1,600,1 out of 4,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,8.987321812850125
1,400,2 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,8.294299608857235
2,900,2 out of 12,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,11.51293546492023
2,700,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,9.61587214452889
1,390,Ground out of 1,Carpet Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,8.922791623969637
2,805,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,8.987321812850125
3,2061,1 out of 6,Super Area,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,10.308985993422082
1,450,3 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,9.259225769705994
2,1200,2 out of 2,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,9.741027444837728
1,500,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.04793908261736
2,775,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9.392745258631441
1,650,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,9.392745258631441
2,1000,1 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.210440366976517
1,300,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9.15915233520675
1,445,1 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9.105090961257085
1,200,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.853808274977197
2,400,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8.517393171418904
2,1100,3 out of 3,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,9.433563920090563
2,850,15 out of 25,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,11.461642696843066
2,840,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9.392745258631441
2,570,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,9.15915233520675
